model,outer_fold,n,mae,rmse,r2,pearson_r,pearson_p
dummy_median,0,96,4.682354132334392,5.977760095515152,-0.013571352200165254,,
dummy_median,1,91,3.738461578285301,6.578035444051462,-0.056647590897037636,,
dummy_median,2,94,3.5293616842716298,4.623928539124844,-0.01285140781083105,,
dummy_median,3,86,9.047906953235005,11.930952238531727,-0.43089295009912165,,
dummy_median,4,91,4.925119793022072,7.062307896243389,-0.04353293060867469,,
ridge,0,96,4.308489898840587,5.233119026919969,0.22321900828668817,0.5921031596454063,2.1004817701437685e-10
ridge,1,91,3.368574593093369,5.421399120656953,0.2822709729403897,0.5571410149994084,9.714756618628372e-09
ridge,2,94,3.177740340537213,4.055744073295471,0.22077192175569826,0.623665221959642,1.8888167535204346e-11
ridge,3,86,5.967376620270485,8.521425667334263,0.2700696030962757,0.7343670065782737,8.553565758403288e-16
ridge,4,91,3.5982106963356775,4.878661957797285,0.5020172293662053,0.7092967382550774,3.585090597774506e-15
mlp,0,96,5.23638932282726,6.499260487879764,-0.19813361023895393,0.37731749447181395,0.00015089649920394224
mlp,1,91,4.6593491690499445,6.584226845036917,-0.058637609890914266,0.4958288209219081,5.808508267776524e-07
mlp,2,94,5.085958890458371,6.704564810886548,-1.1294365076830233,0.3999266576908858,6.509113726228517e-05
mlp,3,86,8.282219917275185,10.85651137268896,-0.1847794504763065,0.5505567126067406,3.977377109373498e-08
mlp,4,91,6.481499679795989,8.660901910779382,-0.5694197130629197,0.2240862528145573,0.032733984419622796
