model,site,n,mae,rmse,r2,pearson_r,pearson_p
dummy_median,KKI,21,4.218571299598332,4.38749782643248,-12.241315865006035,,
dummy_median,LEUVEN_1,14,8.150000095367432,8.593664700409283,-8.941490593873539,,
dummy_median,LEUVEN_2,16,1.2062500715255742,1.4532292474249346,-0.005374236634571705,,
dummy_median,MAX_MUN,27,12.064074127762407,13.653951191426286,-1.7178288466882696,,
dummy_median,NYU,96,4.682354132334392,5.977760095515152,-0.013571352200165254,,
dummy_median,OHSU,13,4.613846228672908,4.715860410190814,-22.366482771659992,,
dummy_median,OLIN,14,3.2857142857142856,4.255248859601852,-0.4830756372753866,,
dummy_median,PITT,25,5.529599952697754,7.806507445357096,-0.3642116094262162,,
dummy_median,SBL,13,19.746923153217022,20.807091504083292,-9.06964280336098,,
dummy_median,SDSU,17,1.483529175029081,2.055457435963843,-0.2878536831538676,,
dummy_median,STANFORD,13,5.019646314474253,5.2684449876202715,-9.843813245495804,,
dummy_median,TRINITY,23,3.3469565225684117,4.377828527696952,-0.3403712483363086,,
dummy_median,UCLA_1,27,2.0548148155212402,2.5395654249957005,-0.492183795657837,,
dummy_median,UCLA_2,10,2.7390003204345708,2.968092293522797,-5.737984531972146,,
dummy_median,UM_1,52,2.8346154322991004,3.206363911849619,-0.01643304716573457,,
dummy_median,UM_2,21,2.6385713304792118,4.553443808519634,-0.37983720501199847,,
dummy_median,USM,24,7.585020661354065,10.115473699107289,-0.5647501493708742,,
dummy_median,YALE,19,1.8557895359240084,2.4117781858653338,-0.3282507401243664,,
ridge,KKI,21,2.6821707770937966,3.248043593133701,-6.256730854084476,0.22399837126177585,0.3290083832899448
ridge,LEUVEN_1,14,2.922379289354598,3.6148526786595796,-0.7590407542093531,0.5829365698791058,0.02867806250103847
ridge,LEUVEN_2,16,4.103710472583771,5.10958253070714,-11.428832322903116,0.18447132449173392,0.4940155284063901
ridge,MAX_MUN,27,6.569263740822121,8.390971733188042,-0.02643139685638074,0.7126322741272084,3.0378880420329987e-05
ridge,NYU,96,4.308489898840587,5.233119026919969,0.22321900828668817,0.5921031596454063,2.1004817701437685e-10
ridge,OHSU,13,3.929691021259015,4.727144000269442,-22.478434023760606,0.10171102274368037,0.7409226961882245
ridge,OLIN,14,2.5757173810686385,3.1009887399467906,0.21238541228823649,0.6826443294291347,0.007138686733728465
ridge,PITT,25,3.9971101760864256,4.981387689630486,0.44451943204727806,0.6859567791071566,0.00015357707713626153
ridge,SBL,13,14.428750331585224,16.092227669724767,-5.023149565407262,-0.13691368345928562,0.6555831331421567
ridge,SDSU,17,2.4357188729678882,3.424174346277455,-2.5740554570971064,0.585719729399518,0.013491777377298796
ridge,STANFORD,13,3.1799099628741923,3.810989287206252,-4.67404252349934,0.11117291203497835,0.7176699017519116
ridge,TRINITY,23,3.4375426250955328,4.312160184038543,-0.30046114207756935,0.39319542298049115,0.06343802822907338
ridge,UCLA_1,27,3.1939850913153753,4.063257453592393,-2.8199017205132537,0.4676153333850738,0.013912848858597324
ridge,UCLA_2,10,3.0304306983947753,3.587051986856063,-8.841256445329915,0.34111544410994243,0.33474252662176196
ridge,UM_1,52,2.3553868073683515,2.9512228450464204,0.13889291757287114,0.6667127162163694,6.814552656313125e-08
ridge,UM_2,21,2.6827705019996286,4.335753834220595,-0.25105706937069994,0.20237946656937028,0.37897574211818696
ridge,USM,24,4.878372232119243,6.761639835361535,0.3008399267862789,0.6131826022608204,0.0014420508962226628
ridge,YALE,19,2.0413341522216797,2.6239313123473633,-0.5722089544688544,0.5656218685027942,0.011601528573516956
mlp,KKI,21,3.286832162312099,3.8974246795744247,-9.448471891629243,0.05197784050418408,0.8229457431328113
mlp,LEUVEN_1,14,5.20943375996181,6.421734184703091,-4.551359414863266,0.41534465515041274,0.13970791263144205
mlp,LEUVEN_2,16,3.8200782239437103,5.022137435454912,-11.007059953723774,0.000391927781659529,0.9988506262043513
mlp,MAX_MUN,27,8.825272454155815,10.675074406605741,-0.6612968184739583,0.534657091541103,0.004064138236080264
mlp,NYU,96,5.23638932282726,6.499260487879764,-0.19813361023895393,0.37731749447181395,0.00015089649920394224
mlp,OHSU,13,4.184772454775297,8.278352956067124,-71.0044505146909,0.12356346361854165,0.6875579600545201
mlp,OLIN,14,3.9814880234854564,4.958942481670628,-1.0141486273119344,0.6346365600404913,0.014766240508334288
mlp,PITT,25,6.340250663757324,8.163657309369492,-0.4918931370779085,0.26828195796792126,0.19474842132659742
mlp,SBL,13,18.21816811194787,19.16385814995732,-7.541953565014433,-0.36935057644511443,0.21422390744131095
mlp,SDSU,17,4.555911470861996,6.0312879608432715,-10.08842023719258,0.0726292207083906,0.781769518827361
mlp,STANFORD,13,2.8610305144236645,3.6413483827537276,-4.180141149423381,0.2599416297746233,0.3910674430758084
mlp,TRINITY,23,6.235299732374108,7.466283810345919,-2.8986710961873166,0.13380288977667384,0.5427511339291231
mlp,UCLA_1,27,4.810504900084601,5.6326505478683595,-6.340558845226536,0.14171103178911595,0.48076064564872645
mlp,UCLA_2,10,5.4190532803535465,6.940937820750706,-35.84779587527362,-0.4657056281209828,0.1749465164099157
mlp,UM_1,52,3.832430151792673,4.397703059736239,-0.9120751468760091,0.45633451739794056,0.0006734841233493362
mlp,UM_2,21,5.3362077077229815,7.3787413829363775,-2.6233681773993838,-0.17767405300876418,0.4409975999423327
mlp,USM,24,11.05079174041748,12.986750039103526,-1.579131670351897,-0.16369638105120346,0.4446812348266871
mlp,YALE,19,3.931961737181011,4.909785214777901,-4.5046578331274745,0.4381046247177842,0.06063710080990911
